word,translation,toeic_target,sentence,trans_s
ability,n. 能力；才能,中級,She has the ability to solve complex problems quickly.,她有能力迅速解決複雜問題。
agreement,n. 協議；同意；一致,中級,1. They signed a trade agreement between the two countries. 2. We reached an agreement on the project deadline. 3. Her story was in agreement with the witness's account.,1. 他們簽署了兩國之間的貿易協定。 2. 我們就專案截止日期達成了一致。 3. 她的說法與證人的證詞相符。
enjoyment,n. 樂趣,中級,She gets a lot of enjoyment from playing the piano.,她從彈鋼琴中獲得了許多樂趣。
glove(s),n. 手套,初級,She put on her gloves before cleaning the house.,她戴上手套後才開始打掃房子。
goddess,n. 女神,中級,"In Greek mythology, Athena is the goddess of wisdom.",在希臘神話中，雅典娜是智慧女神。
media,n. 媒體,中級,The media plays an important role in shaping public opinion,媒體在塑造公眾輿論方面發揮著重要作用。
mine,n. 礦；礦山 v. 採礦,初級,1. The workers went deep underground to work in the mine. 2. They mine coal in this region.,1. 工人們深入地下礦坑工作。 2. 他們在這個地區開採煤炭。
online,adj. 線上的 adv. 線上地,初級,1. Many people shop using online stores nowadays. 2. She is online and available to chat.,1. 現在很多人都在網路上購物。 2. 她在線，可以聊天。
payment,n. 支付；薪水,中級,The payment was made by credit card.,付款方式為信用卡支付。
photograph,n. 照片,初級,He took a photograph of the sunset.,他拍了一張日落的照片。
photo,v. 拍照,初級,Can you take a photo of me?,你能幫我拍張照片嗎？
sore,adj. 疼痛的 n. 痛處，傷口；傷心事,初級,"1. After running, my legs felt sore. 2. He has a sore on his arm that won’t heal.",1. 跑步後，我的腿感覺​​很酸痛。 2. 他手臂上有一個傷口，一直不見好轉。
stair,n. 樓梯,初級,She ran up the stairs quickly.,她迅速跑上樓梯。
taxi/taxicab/cab,n. 計程車,初級,I took a taxi to the airport.,我搭計程車去了機場。
treatment,n. 對待；待遇；治療法,中級,1. The treatment of waste is important for the environment. 2. She was given special treatment at the hotel. 3. The patient received treatment for the infection.,1. 廢棄物處理對環境至關重要。 2. 她在飯店受到了特別照顧。 3. 病人接受了感染治療。
absence,n. 缺席；缺少,中級,1. Her absence from the meeting was noticed by everyone 2. The absence of evidence made it hard to solve the case.,1. 她缺席會議引起了所有人的注意。 2. 由於缺乏證據，案件難以偵破。
account,n. 帳戶；描述 v. 認為；解釋,中級,1. I opened a bank account last week. 2. He gave a detailed account of what happened.,1. 我上週開了一個銀行帳戶。 2. 他詳細地講述了事情經過。
actual,adj. 實際的,中級,The movie is based on actual events.,這部電影是根據真實事件改編的。
addition,n. 增加；附加；加法,初級,1. The new employee is a great addition to our team. 2. They built an addition to the house for extra space. 3. She’s learning addition and subtraction in math class.,1. 這位新進員工是我們團隊的得力幹將。 2. 他們擴建了房子，以獲得更多空間。 3. 她在數學課學習加減法。
admit,v. 承認；允許進入；接納,中級,1. He admitted that he made a mistake. 2. Only employees are admitted beyond this point. 3. They admitted him to the hospital last night.,1. 他承認自己犯了錯。 2. 只有員工才能進入此處。 3. 他們昨晚把他送進醫院了。
advance,n. 前進；發展；預付 v. 促進；進步,中級,1. The soldiers advanced toward the enemy base. 2. There have been major advances in medical technology. 3. We need to make an advance booking for the hotel. 4. He received an advance on his salary.,1. 士兵們向敵軍基地推進。 2. 醫療技術取得了重大進展。 3. 我們需要提前預訂飯店。 4. 他收到了一筆預支薪水。
affair,n. 事情；事務；(多指不正當的)戀情；事件,中級,1. He always tries to keep his personal affairs private. 2. The president promised not to interfere in foreign affairs. 3. He had an affair with his coworker. 4. The wedding was a grand affair.,1. 他總是盡量把自己的私事保密。 2. 總統承諾不干涉他國內政。 3. 他和同事有染。 4. 婚禮非常盛大。
aid,n. 幫助；助聽器 v. 幫助,中級,1. The country sent food aid to the disaster victims. 2. Hearing aids help people with hearing loss. 3. The organization aids refugees by providing shelter and medical care.,1. 該國向災民提供了食物援助。 2. 助聽器可以幫助聽力受損的人。 3. 該組織透過提供住所和醫療服務來援助難民。
aircraft,n. 航空器；飛機,中級,The aircraft took off smoothly despite the bad weather.,儘管天氣惡劣，飛機還是順利起飛了。
anytime,adv. 任何時候,初級,You can call me anytime if you need help,如果您需要幫助，可以隨時打電話給我。
anyway,adv. 無論如何,初級,"1. Anyway, let’s finish the work first. 2. It’s raining, but I’ll go out anyway.",1. 總之，我們還是先把工作做完。 2. 雖然下雨，但我還是要出去。
anywhere/anyplace,adv. 在任何地方,初級,1. I can go anywhere you want.,1. 我可以去任何你想去的地方。
ape,n. 大猩猩 v.模仿,初級,1.The ape climbed the tree quickly. 2.He tried to ape his boss’s behavior.,1. 這隻猿猴迅速爬上了樹。 2. 他試圖模仿老闆的行為。
appearance,n. 外貌；出現，露面,中級,1. Her appearance changed a lot after the haircut. 2. The sudden appearance of the cat startled me.,1. 她剪了頭髮後，外表變化很大。 2. 貓的突然出現嚇了我一跳。
appetite,n.胃口；食慾,初級,1. He has a big appetite and can eat a lot. 2. Stress can sometimes reduce your appetite.,1. 他食量很大，能吃很多。 2. 壓力有時會降低食慾。
apply,v. 申請；應用；塗抹,中級,1. She applied for a job at the company. 2. You can apply this method to solve other problems. 3. Apply the cream to your skin twice a day.,1. 她申請了這家公司的工作。 2. 你可以用這種方法解決其他問題。 3. 每天兩次將乳霜塗抹在皮膚上。
approach,n. 方法 v. 接近；靠近,中級,"1. We need a new approach to solve this problem. 2. As we approached the station, it started to rain.",1. 我們需要一種新的方法來解決這個問題。 2. 當我們接近車站時，開始下雨了。
argument,n. 爭論，爭吵；論點,中級,1. They had an argument about money last night. 2. Her main argument was that the law is unfair.,1. 他們昨晚因為錢的事吵了一架。 2. 她的主要論點是法律不公平。
arrangement,n. 安排；布置；協議，約定,中級,1. She made all the travel arrangements for the trip. 2. The flower arrangement on the table is beautiful. 3. We had an arrangement to meet at 7 p.m.,1. 她安排了這次旅行的所有行程。 2. 桌上的花束很漂亮。 3. 我們約好晚上7點見面。
arrival,n. 到達；(某人或某事)到來,中級,1. Our arrival at the hotel was delayed by traffic. 2. The arrival of spring brought warmer weather.,1. 由於交通堵塞，我們到達飯店的時間被耽擱了。 2. 春天的到來帶來了溫暖的天氣。
arrow,n. 箭,初級,Follow the arrow to find the exit.,跟著箭頭走就能找到出口。
